t,tx,rx,seq,rateKbps,bits,dist_m,pathloss_db,snr_db,per,success
63.2992,1,2,24,8,1160,120,115.742,-8.76699,0,1
63.4115,2,1,24,8,88,120,115.742,-8.76699,0,1
64.3535,1,2,25,8,320,120,115.742,-8.76699,0,1
64.4657,2,1,25,8,88,120,115.742,-8.76699,0,1
68.944,1,0,16,8,336,50,107.377,-0.40234,0,1
68.944,1,2,16,8,336,120,115.742,-8.76699,0,1
69.8752,0,1,5,32,320,50,107.377,-0.40234,0.159194,1
69.9875,1,0,5,8,88,50,107.377,-0.40234,0,1
74.942,3,2,18,8,320,80,111.868,-4.89298,0,1
74.944,2,1,17,8,336,120,115.742,-8.76699,0,1
74.944,2,3,17,8,336,80,111.868,-4.89298,0,1
81.192,0,1,19,8,320,50,107.377,-0.40234,0,1
82.1232,1,0,15,32,320,50,107.377,-0.40234,0.159194,1
82.2355,0,1,15,8,88,50,107.377,-0.40234,0,1
86.8675,2,1,20,8,320,120,115.742,-8.76699,0,1
86.8675,2,3,20,8,320,80,111.868,-4.89298,0,1
87.809,3,2,5,16,320,80,111.868,-4.89298,0,1
87.8295,1,2,26,8,320,120,115.742,-8.76699,0,1
87.9213,2,3,5,8,88,80,111.868,-4.89298,0,1
87.9418,2,1,26,8,88,120,115.742,-8.76699,0,1
